video,prompt,audio_emb
af30ad86e261e478cf02fd08e176743b_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/af30ad86e261e478cf02fd08e176743b.pt
92fb9fb3b0bc540210c82e8a7a0acf16_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/92fb9fb3b0bc540210c82e8a7a0acf16.pt
4d19689a8853e94bb233c616376cd6c5_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/4d19689a8853e94bb233c616376cd6c5.pt
c5fc3b9e04b99e35c2a5924e14e59f73_cfr25.mp4,"A middle-aged woman with short blonde hair and glasses sits at a cozy kitchen table, her expression shifting from focused to concerned as she engages in a serious conversation or observes something off-camera. The woman, dressed in casual attire, is seated in a warm kitchen with a white stove, coffee pot, and decorative bottles, her attention fixed intently on something outside the frame.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/c5fc3b9e04b99e35c2a5924e14e59f73.pt
d233ed97ac72fbea3312488b99ecbcf8_cfr25.mp4,"A middle-aged man, dressed in a formal business suit, stands upright in a wooded or garden area, engaged in a conversation or listening intently, his serious expression and neat hairstyle suggesting a professional demeanor. The blurred background of greenery and daytime lighting adds to the serene atmosphere of the natural setting.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/d233ed97ac72fbea3312488b99ecbcf8.pt
a03096d7934f08216d5eb0c503603712_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/a03096d7934f08216d5eb0c503603712.pt
9533197d055be85b4fa60659d9888e68_cfr25.mp4,"The video shows a single man, dressed in a dark suit and tie, standing in front of an aircraft engine in a dimly lit setting, his serious expression and engaged posture suggesting a tense conversation with someone off-camera.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/9533197d055be85b4fa60659d9888e68.pt
e72de2caa5430eec97363399cc5fbf9c_cfr25.mp4,"The video shows a single male character, a man in his thirties with medium-length brown hair and light skin tone, sitting calmly in a dimly lit indoor setting, wearing a plaid shirt with brown, white, and black colors, as he appears to engage in a quiet conversation or moment of contemplation.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/e72de2caa5430eec97363399cc5fbf9c.pt
11c883a1f64defa6203ed84b946d4f98_cfr25.mp4,"The video shows a single woman, with shoulder-length, wavy brown hair and fair skin, speaking in a professional setting, likely an office, wearing a patterned blouse with white and dark tones. She stands upright, her mouth slightly open and eyes locked on the camera, surrounded by a blurred background of office furniture and a glass partition, bathed in soft, even lighting.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/11c883a1f64defa6203ed84b946d4f98.pt
25d4b62e8ff3a23864556770af52d61b_cfr25.mp4,"A young adult, likely in their twenties, with dark hair and light skin tone, stands relaxed in a cozy, lived-in room with a bookshelf and framed pictures in the background, wearing a light-colored shirt over a dark t-shirt with a visible logo. They appear to be engaged in a conversation or listening intently, surrounded by the warm, soft light of a daytime setting.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/25d4b62e8ff3a23864556770af52d61b.pt
f4d5422fc0542ce70bc90f33f64ada49_cfr25.mp4,"A lone figure, a middle-aged man in his forties, stands in a dimly lit, snowy outdoor setting, illuminated by street lamps and distant lights, wearing a dark beanie and a dark jacket with a light-colored fur collar. He moves subtly, exuding a contemplative air as he stands still, lost in thought amidst the quiet, wintry atmosphere.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/f4d5422fc0542ce70bc90f33f64ada49.pt
828a56af1e7a2b87aff2adb05e3f8114_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/828a56af1e7a2b87aff2adb05e3f8114.pt
f05db7dbd0bfc146a30f864e459d306c_cfr25.mp4,"In a dimly lit, indoor setting, a fair-skinned woman with braided blonde hair and a red dress with gold accents engages in a serious conversation with a bearded man, both of whom are the only people visible in the scene. The woman's expression and posture shift subtly as she speaks, set against the backdrop of a television show or movie, marked by the prominent ""HISTORY"" logo.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/f05db7dbd0bfc146a30f864e459d306c.pt
88feb101bd422d1f4550f260f0aa371c_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/88feb101bd422d1f4550f260f0aa371c.pt
297da1f0f85e537b3616d90a80bf73d1_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/297da1f0f85e537b3616d90a80bf73d1.pt
61fa46f0145653ece969847dd1c8a512_cfr25.mp4,"The video shows a single individual, a young adult with a shaved head and light skin tone, dressed in a formal gray blazer, dark sweater, and striped shirt, standing in a dimly lit office or educational setting, surrounded by a whiteboard and a framed item on the wall, as they appear to be deeply engaged in thought or listening.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/61fa46f0145653ece969847dd1c8a512.pt
37ffde10a92c1a61f29d9083b193b9c6_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/37ffde10a92c1a61f29d9083b193b9c6.pt
bdd12b05f40e04b1fa544ba4f3cfb1a8_cfr25.mp4,"The video shows a single male figure, a man in his forties with short, dark hair and a neutral skin tone, seated in a formal indoor setting with warm lighting, dressed in a dark suit and light-colored shirt, engaged in a serious conversation or listening intently as he makes subtle head turns and facial expressions. The room features wooden furniture and a door in the background, creating a professional atmosphere.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/bdd12b05f40e04b1fa544ba4f3cfb1a8.pt
4ff1fd3f834265b645ce8ad81df19c14_cfr25.mp4,"The video shows a middle-aged man, dressed in a dark pinstripe suit, light blue shirt, and dark tie, seated in a formal indoor setting with wooden paneling, engaged in a serious conversation with one or more unseen individuals, as indicated by his animated hand gestures and subtle head movements.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/4ff1fd3f834265b645ce8ad81df19c14.pt
e15b4f6e02a51163ad80aa68ec7f69d6_cfr25.mp4,"The video shows a single person, dressed in a dark suit, white shirt, and dark tie, standing upright and speaking or presenting in front of a plain curtain in a well-lit indoor setting. The individual's open mouth and slight head and shoulder movements convey a sense of engagement, while the neutral background and even lighting draw attention to the person in the center of the frame.",/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/e15b4f6e02a51163ad80aa68ec7f69d6.pt
02098681be05e8aee260942b4f38a1e5_cfr25.mp4,a person is talking,/mnt/dataset1/jinhyuk/Hallo3/cropped_only_10K_preprocessed/audio_emb_omniavatar_aligned/02098681be05e8aee260942b4f38a1e5.pt
